"id","robot","match","piece","pickup","score","level","success","time","phase"
1022,6866,39,"cargo","floor","dropped","0","dropped",10521,"tele"
1023,5719,39,"hatch","preload","dropped","0","dropped",3450,"sandstorm"
1024,5719,39,"hatch","top-hp","front-cargo","1","success",8295,"tele"
1025,5719,39,"hatch","top-hp","dropped","0","dropped",757,"tele"
1026,5719,39,"hatch","top-hp","dropped","0","dropped",925,"tele"
1027,5719,39,"hatch","top-hp","dropped","0","dropped",848,"tele"
1033,4939,39,"cargo","preload","dropped","0","dropped",6686,"sandstorm"
1034,4939,39,"cargo","top-hp","top-cargo","1","success",9182,"sandstorm"
1035,4939,39,"cargo","top-hp","dropped","0","dropped",17214,"sandstorm"
1036,4939,39,"cargo","top-hp","dropped","0","dropped",14167,"sandstorm"
1037,4939,39,"hatch","bot-hp","dropped","0","dropped",58282,"sandstorm"
1038,1285,40,"hatch","preload","front-cargo","1","success",16753,"sandstorm"
1039,1285,40,"cargo","floor","bot-cargo","1","success",3946,"tele"
1040,1285,40,"hatch","bot-hp","front-cargo","1","success",8744,"tele"
1041,1285,40,"cargo","floor","bot-cargo","1","success",5045,"tele"
1042,1285,40,"cargo","floor","front-cargo","1","success",8952,"tele"
1043,1285,40,"cargo","floor","bot-cargo","1","success",6596,"tele"
1044,1285,40,"cargo","floor","top-cargo","1","success",7821,"tele"
1045,1285,40,"cargo","floor","front-cargo","1","success",7988,"tele"
1046,7456,40,"hatch","preload","front-cargo","1","success",38001,"tele"
1047,1246,40,"cargo","preload","top-cargo","1","success",1279,"tele"
1048,5024,40,"hatch","preload","top-cargo","1","success",18252,"sandstorm"
1049,5024,40,"cargo","top-hp","top-cargo","1","success",26167,"tele"
1050,5024,40,"cargo","top-hp","top-cargo","1","success",8441,"tele"
1051,5024,40,"cargo","top-hp","dropped","0","dropped",16088,"tele"
1052,5024,40,"cargo","top-hp","front-cargo","1","success",6741,"tele"
1053,6878,40,"hatch","preload","front-cargo","1","success",1618,"tele"
1054,7136,40,"hatch","bot-hp","bot-cargo","1","attempted",22558,"tele"
1055,7136,40,"hatch","top-hp","dropped","0","dropped",5429,"tele"
1056,7690,41,"cargo","preload","bot-cargo","1","success",11596,"sandstorm"
1057,7690,41,"cargo","bot-hp","bot-cargo","1","success",11174,"tele"
1058,7690,41,"cargo","bot-hp","bot-cargo","1","attempted",10062,"tele"
1059,7690,41,"hatch","bot-hp","bot-cargo","1","success",13256,"tele"
1060,7690,41,"cargo","bot-hp","top-cargo","1","success",10042,"tele"
1061,7690,41,"cargo","bot-hp","top-cargo","1","success",9915,"tele"
1062,7690,41,"cargo","bot-hp","top-cargo","1","success",5456,"tele"
1063,7690,41,"hatch","bot-hp","dropped","0","dropped",1657,"tele"
1064,7690,41,"hatch","bot-hp","dropped","0","dropped",2694,"tele"
1065,919,41,"hatch","preload","front-cargo","1","success",19168,"sandstorm"
1066,919,41,"cargo","bot-hp","bot-cargo","1","success",26851,"tele"
1067,919,41,"cargo","bot-hp","bot-cargo","1","success",4262,"tele"
1068,919,41,"cargo","bot-hp","top-cargo","1","success",43971,"tele"
1069,919,41,"cargo","bot-hp","dropped","0","dropped",2794,"tele"
1070,5031,41,"cargo","preload","top-cargo","1","success",9675,"tele"
1071,5031,41,"hatch","floor","top-cargo","1","success",7733,"tele"
1072,5031,41,"cargo","floor","top-rocket-low","1","success",25616,"tele"
1073,5031,41,"cargo","floor","dropped","0","dropped",18922,"tele"
1074,5406,41,"hatch","top-hp","top-rocket-mid","2","success",5261,"tele"
1075,5406,41,"hatch","top-hp","top-rocket-mid","2","success",2896,"tele"
1076,5406,41,"hatch","top-hp","top-rocket-mid","2","success",4507,"tele"
1077,5406,41,"hatch","top-hp","top-rocket-mid","2","success",3452,"tele"
1078,5406,41,"hatch","top-hp","top-rocket-high","3","success",7871,"tele"
1079,5406,41,"hatch","top-hp","top-rocket-high","3","success",6661,"tele"
1080,5406,41,"hatch","top-hp","top-rocket-high","3","success",2006,"tele"
1081,5406,41,"hatch","top-hp","top-rocket-high","3","success",2003,"tele"
1082,5406,41,"hatch","top-hp","dropped","0","dropped",9608,"tele"
1083,2706,41,"hatch","preload","top-cargo","1","success",12251,"sandstorm"
1084,2706,41,"hatch","top-hp","top-rocket-low","1","success",14434,"sandstorm"
1085,2706,41,"hatch","top-hp","top-rocket-low","1","success",23084,"sandstorm"
1086,2706,41,"hatch","top-hp","top-rocket-mid","2","attempted",21516,"sandstorm"
1087,2706,41,"hatch","top-hp","dropped","0","dropped",4181,"sandstorm"
1088,2706,41,"hatch","top-hp","top-rocket-mid","2","success",17494,"sandstorm"
1089,746,42,"hatch","bot-hp","front-cargo","1","success",39174,"tele"
1090,1246,42,"cargo","preload","top-cargo","1","success",5176,"tele"
1091,1246,42,"cargo","floor","top-cargo","1","success",2152,"tele"
1092,1246,42,"cargo","floor","dropped","0","dropped",18711,"tele"
1093,1246,42,"cargo","floor","top-cargo","1","success",6249,"tele"
