"robot","match","level","success","time","phase","id"
5406,16,3,"scored",NULL,"tele",217
7520,16,2,"none",NULL,"sandstorm",218
7520,16,2,"scored",NULL,"tele",219
919,16,1,"scored",NULL,"sandstorm",220
919,16,1,"scored",NULL,"tele",221
6878,16,2,"scored",NULL,"sandstorm",222
7136,16,1,"scored",NULL,"sandstorm",223
7136,16,1,"scored",NULL,"tele",224
7690,17,2,"scored",NULL,"sandstorm",225
7690,17,1,"scored",NULL,"tele",226
6342,17,1,"none",NULL,"sandstorm",227
6342,17,1,"scored",NULL,"tele",228
5039,17,1,"none",NULL,"sandstorm",229
5039,17,1,"scored",NULL,"tele",230
7710,17,2,"scored",NULL,"sandstorm",231
7710,17,1,"scored",NULL,"tele",232
746,17,2,"scored",NULL,"sandstorm",233
746,17,1,"scored",NULL,"tele",234
5024,17,2,"scored",NULL,"sandstorm",235
5024,17,3,"scored",NULL,"tele",236
6397,18,2,"scored",NULL,"sandstorm",237
6397,18,1,"scored",NULL,"tele",238
7476,18,1,"scored",NULL,"sandstorm",239
7476,18,1,"scored",NULL,"tele",240
1285,18,2,"scored",NULL,"sandstorm",241
1285,18,1,"scored",NULL,"tele",242
7456,18,1,"scored",NULL,"sandstorm",243
1246,19,1,"scored",NULL,"sandstorm",244
1246,19,1,"scored",NULL,"tele",245
4308,19,2,"scored",NULL,"sandstorm",246
4308,19,1,"scored",NULL,"tele",247
5076,19,2,"scored",NULL,"sandstorm",248
5076,19,1,"scored",NULL,"tele",249
6867,19,2,"none",NULL,"sandstorm",250
6867,19,2,"scored",NULL,"tele",251
188,19,1,"scored",NULL,"sandstorm",252
5911,18,2,"none",NULL,"sandstorm",253
6162,20,1,"none",NULL,"sandstorm",254
6162,20,1,"scored",NULL,"tele",255
6866,20,2,"scored",NULL,"sandstorm",256
6866,20,1,"scored",NULL,"tele",257
4252,20,1,"none",NULL,"sandstorm",258
4252,20,1,"scored",NULL,"tele",259
5031,20,2,"scored",NULL,"sandstorm",260
5031,20,1,"scored",NULL,"tele",261
5036,20,1,"scored",NULL,"sandstorm",262
5036,20,1,"scored",NULL,"tele",263
1334,20,2,"none",NULL,"sandstorm",264
7476,21,1,"scored",NULL,"sandstorm",265
7476,21,1,"scored",NULL,"tele",266
919,21,1,"scored",NULL,"sandstorm",267
919,21,1,"scored",NULL,"tele",268
7710,21,2,"scored",NULL,"sandstorm",269
7710,21,1,"scored",NULL,"tele",270
188,21,1,"scored",NULL,"sandstorm",271
188,21,3,"scored",NULL,"tele",272
1285,21,2,"scored",NULL,"sandstorm",273
1285,21,1,"scored",NULL,"tele",274
4939,21,2,"none",NULL,"sandstorm",275
4939,21,1,"scored",NULL,"tele",276
5039,22,1,"scored",NULL,"sandstorm",277
5039,22,1,"scored",NULL,"tele",278
746,22,2,"scored",NULL,"sandstorm",279
746,22,3,"scored",NULL,"tele",280
4308,22,2,"scored",NULL,"sandstorm",281
4308,22,1,"scored",NULL,"tele",282
6878,22,2,"scored",NULL,"sandstorm",283
5076,22,2,"scored",NULL,"sandstorm",284
5076,22,1,"scored",NULL,"tele",285
2706,22,1,"scored",NULL,"sandstorm",286
1334,23,0,"scored",NULL,"sandstorm",287
6867,23,2,"scored",NULL,"sandstorm",288
6867,23,1,"scored",NULL,"tele",289
5024,23,1,"scored",NULL,"sandstorm",290
5024,23,1,"scored",NULL,"tele",291
5031,23,2,"none",NULL,"sandstorm",292
6162,23,1,"scored",NULL,"sandstorm",293
6162,23,1,"scored",NULL,"tele",294
6866,23,2,"scored",NULL,"sandstorm",295
6866,23,1,"scored",NULL,"tele",296
4252,24,1,"scored",NULL,"sandstorm",297
4252,24,1,"scored",NULL,"tele",298
7690,24,2,"scored",NULL,"sandstorm",299
6342,24,2,"scored",NULL,"sandstorm",300
6342,24,1,"scored",NULL,"tele",301
7136,24,1,"scored",NULL,"sandstorm",302
6397,24,1,"none",NULL,"sandstorm",303
6397,24,1,"scored",NULL,"tele",304
1246,24,1,"scored",NULL,"sandstorm",305
7456,25,1,"scored",NULL,"sandstorm",306
7456,25,1,"scored",NULL,"tele",307
5036,25,1,"scored",NULL,"sandstorm",308
5036,25,1,"scored",NULL,"tele",309
7520,25,2,"scored",NULL,"sandstorm",310
7520,25,1,"scored",NULL,"tele",311
5911,25,2,"none",NULL,"sandstorm",312
5911,25,1,"scored",NULL,"tele",313
5719,25,1,"scored",NULL,"sandstorm",314
5719,25,1,"scored",NULL,"tele",315
5024,26,2,"scored",NULL,"sandstorm",317
5024,26,3,"scored",NULL,"tele",318
6867,26,2,"scored",NULL,"sandstorm",319
6867,26,2,"scored",NULL,"tele",320
188,26,1,"scored",NULL,"sandstorm",321
7476,26,1,"scored",NULL,"sandstorm",322
5076,26,2,"scored",NULL,"sandstorm",323
5076,26,1,"scored",NULL,"tele",324
1334,26,1,"scored",NULL,"sandstorm",325
1334,26,1,"scored",NULL,"tele",326
5039,27,2,"scored",NULL,"sandstorm",327
5039,27,1,"scored",NULL,"tele",328
5036,27,1,"scored",NULL,"sandstorm",329
5036,27,1,"scored",NULL,"tele",330
7710,27,2,"none",NULL,"sandstorm",331
7710,27,1,"scored",NULL,"tele",332
7520,27,2,"scored",NULL,"sandstorm",333
7520,27,1,"scored",NULL,"tele",334
1246,27,1,"none",NULL,"sandstorm",335
5406,25,2,"none",NULL,"sandstorm",337
5406,27,2,"scored",NULL,"sandstorm",338
6866,28,2,"scored",NULL,"sandstorm",339
7456,28,1,"scored",NULL,"sandstorm",340
7456,28,1,"scored",NULL,"tele",341
