1,2386,1,1,1,0,NULL
2,6009,1,2,0,3,NULL
3,2200,1,2,0,0,NULL
4,6481,1,1,0,1,NULL
5,1374,1,0,0,0,NULL
6,5406,1,2,2,2,NULL
7,5288,2,1,0,2,NULL
8,188,2,2,0,2,NULL
9,6046,2,0,0,0,NULL
10,5409,2,2,0,1,NULL
11,6135,2,1,0,0,NULL
12,907,2,1,0,3,NULL
13,6537,3,1,0,0,NULL
14,3161,3,1,0,1,NULL
15,2702,3,2,0,0,NULL
16,4519,3,2,0,2,NULL
17,4039,3,2,1,0,NULL
18,4939,3,2,0,2,NULL
19,2852,4,2,0,0,NULL
20,4976,4,2,0,3,NULL
21,6339,4,1,0,0,NULL
22,6342,4,2,0,2,NULL
23,3571,4,1,0,1,NULL
24,1334,4,2,0,2,NULL
25,771,5,0,0,0,NULL
26,6387,5,1,1,1,NULL
27,6323,5,2,0,0,NULL
28,4992,5,0,0,0,NULL
29,6725,5,1,0,0,NULL
30,4943,5,1,0,4,NULL
31,4777,6,0,0,0,NULL
32,6070,6,1,0,0,NULL
33,2056,6,2,2,0,NULL
34,4992,6,0,0,0,NULL
35,773,6,1,0,2,NULL
36,854,6,1,0,3,NULL
37,1310,7,2,0,0,NULL
38,4907,7,1,0,2,NULL
39,4902,7,1,0,0,NULL
40,4618,7,2,0,0,NULL
41,1360,7,1,0,0,NULL
42,4951,7,2,0,2,NULL
43,6339,8,0,0,0,NULL
44,2200,8,2,1,2,NULL
45,6323,8,2,0,0,NULL
46,4939,8,2,0,0,NULL
47,2852,8,1,1,0,NULL
48,6046,8,0,0,1,NULL
49,3571,9,0,0,0,NULL
50,6725,9,1,0,3,NULL
51,1374,9,1,0,2,NULL
52,6481,9,1,0,3,NULL
53,5409,9,1,1,0,NULL
54,4943,9,1,0,4,NULL
55,773,10,0,0,0,NULL
56,771,10,0,0,3,NULL
57,5288,10,1,0,0,NULL
58,1360,10,2,0,3,NULL
59,1334,10,1,0,0,NULL
60,2386,10,2,0,2,NULL
61,4777,11,0,0,0,NULL
62,4976,11,1,2,2,NULL
63,1310,11,2,1,0,NULL
64,4907,11,1,0,0,NULL
