1,2386,1,"load",true,false,0,false,0,"0",0
2,6009,1,"middle",false,false,0,false,1,"port2",1
3,2200,1,"boiler",true,false,0,false,0,"0",0
4,6481,1,"boiler",true,false,0,false,0,"0",0
5,1374,1,"load",false,false,0,false,0,"0",0
6,5406,1,"middle",false,false,5,false,0,"0",0
7,5288,2,"boiler",true,false,0,false,0,"0",0
8,188,2,"middle",true,false,0,false,1,"0",0
9,6046,2,"load",true,false,0,false,0,"0",0
10,5409,2,"middle",true,false,0,false,0,"0",0
11,6135,2,"boiler",true,false,0,false,0,"0",0
12,907,2,"load",false,false,0,false,0,"0",0
13,6537,3,"middle",false,false,0,false,0,"0",0
14,3161,3,"load",false,false,0,false,0,"0",0
15,2702,3,"boiler",true,false,0,false,0,"0",0
16,4519,3,"middle",true,false,0,false,0,"port2",1
17,4039,3,"load",true,false,0,false,0,"port1",1
18,4939,3,"load",true,false,0,false,2,"port1",2
19,2852,4,"boiler",true,false,5,false,0,"0",0
20,4976,4,"middle",true,false,10,false,1,"port2",1
21,6339,4,"load",true,false,0,false,0,"0",0
22,6342,4,"middle",true,false,0,false,0,"port2",1
23,3571,4,"boiler",true,false,0,false,0,"0",0
24,1334,4,"load",false,false,0,false,0,"0",0
25,771,5,"load",true,false,0,false,0,"0",0
26,6387,5,"boiler",true,false,0,false,1,"0",0
27,6323,5,"boiler",true,false,0,false,0,"0",0
28,4992,5,"middle",true,false,0,false,0,"0",0
29,6725,5,"boiler",true,false,0,false,0,"0",0
30,4943,5,"load",false,false,0,false,0,"0",0
31,4777,6,"middle",false,false,0,false,0,"0",0
32,6070,6,"load",true,false,0,false,0,"port1",1
33,2056,6,"boiler",true,false,17,false,0,"port3",0
34,6330,6,"boiler",true,false,0,false,0,"0",0
35,773,6,"load",true,true,0,false,0,"0",0
36,854,6,"middle",false,false,0,false,0,"0",0
37,1310,7,"boiler",true,false,7,false,0,"port3",1
38,4907,7,"load",true,false,0,false,1,"0",0
39,4902,7,"middle",true,false,0,false,0,"port2",1
40,4618,7,"boiler",true,false,0,false,0,"0",0
41,1360,7,"middle",true,false,0,false,0,"0",0
42,4951,7,"load",true,false,0,false,0,"0",0
43,6339,8,"load",true,false,0,false,0,"0",0
44,2200,8,"boiler",true,false,0,false,1,"0",0
45,6323,8,"load",true,false,0,false,0,"0",0
46,4939,8,"middle",true,false,0,false,0,"0",0
47,2852,8,"boiler",true,false,8,false,0,"0",0
48,6046,8,"load",true,true,0,false,0,"0",0
49,3571,9,"boiler",true,false,0,false,0,"0",0
50,6725,9,"load",true,false,0,false,1,"0",0
51,1374,9,"middle",false,false,0,false,0,"0",0
52,6481,9,"boiler",true,false,0,false,0,"0",0
53,5409,9,"middle",true,false,0,false,0,"port2",1
54,4943,9,"load",false,false,0,false,0,"0",0
55,773,10,"boiler",true,false,0,false,0,"port2",1
56,771,10,"load",true,false,0,false,0,"0",0
57,5288,10,"boiler",true,false,0,false,0,"0",0
58,1360,10,"boiler",true,false,0,false,0,"port2",1
59,1334,10,"load",true,false,0,false,0,"0",0
60,2386,10,"middle",false,false,0,false,0,"port2",0
61,4777,11,"load",false,false,0,false,0,"0",0
62,4976,11,"boiler",false,false,3,false,0,"0",0
63,1310,11,"middle",true,false,5,false,0,"port2",1
64,4907,11,"middle",true,false,0,false,0,"0",0
65,6537,11,"boiler",true,false,0,false,0,"0",0
66,6070,11,"load",true,false,0,false,0,"0",0
67,854,12,"boiler",true,false,3,false,0,"0",0
68,3161,12,"load",true,false,0,false,0,"0",0
69,4902,12,"middle",false,false,0,false,0,"0",0
70,6135,12,"load",true,false,0,false,0,"0",0
71,6009,12,"boiler",true,false,0,false,0,"0",0
72,188,12,"middle",false,false,1,false,0,"port2",1
73,2056,13,"boiler",false,false,0,false,0,"0",0
74,4951,13,"middle",false,false,0,false,0,"0",0
75,4039,13,"load",true,false,0,false,0,"0",0
76,907,13,"load",true,false,0,false,0,"0",0
77,2702,13,"boiler",true,false,2,false,0,"0",0
78,6342,13,"middle",false,false,0,false,0,"port2",1
79,4618,14,"boiler",true,false,0,false,0,"0",0
80,4519,14,"middle",true,false,0,false,0,"port2",1
81,6330,14,"load",true,false,0,false,0,"port3",0
82,6387,14,"boiler",true,false,3,false,0,"0",0
83,5406,14,"middle",true,false,0,false,0,"0",0
84,4992,14,"load",true,false,0,false,0,"0",0
85,4907,15,"middle",true,false,0,false,0,"0",0
86,4943,15,"load",true,false,0,false,0,"0",0
87,773,15,"boiler",true,false,0,false,0,"0",0
88,6339,15,"boiler",true,false,0,false,0,"0",0
89,3161,15,"load",true,false,0,false,0,"0",0
90,4939,15,"middle",false,false,0,false,0,"0",0
91,2702,16,"boiler",true,false,0,false,0,"port2",0
92,771,16,"load",true,false,0,false,0,"0",0
93,5409,16,"middle",true,false,0,false,0,"port2",1
94,6070,16,"load",true,false,0,false,0,"0",0
95,4976,16,"boiler",true,false,0,false,0,"0",0
96,6009,16,"middle",false,false,0,false,0,"port1",1
97,6342,17,"middle",true,false,0,false,0,"0",0
98,4951,17,"boiler",true,false,0,false,0,"0",0
100,5288,17,"middle",true,false,0,false,0,"port2",1
101,3571,17,"load",true,false,0,false,0,"0",0
102,2386,17,"middle",false,false,0,false,0,"0",0
103,4902,18,"middle",true,false,0,false,0,"port2",1
104,6330,18,"load",true,false,0,false,0,"0",0
106,1310,18,"boiler",true,false,5,false,0,"port3",1
107,907,18,"middle",true,false,0,false,0,"0",0
108,1374,18,"load",false,false,0,false,0,"0",0
109,4618,19,"middle",true,false,0,false,0,"0",0
